Solution Length,Nodes Expanded,Runtime,Solution
7,407,8.42962908744812,[18, 18, 8, 2, 6, 10, 10]
7,375,6.916609764099121,[18, 16, 20, 24, 22, 2, 14]
7,1886,149.5424633026123,[22, 8, 4, 2, 2, 6, 6]
4,13,0.12067794799804688,[20, 14, 16, 10]
4,7,0.061835527420043945,[14, 20, 2, 10]
7,51,0.5485355854034424,[18, 24, 18, 24, 2, 8, 8]
7,677,20.103498220443726,[14, 16, 16, 20, 2, 8, 8]
7,370,6.91609525680542,[10, 14, 20, 20, 2, 12, 12]
7,740,23.902939796447754,[10, 18, 22, 24, 24, 8, 4]
7,1971,171.5554540157318,[18, 18, 10, 22, 22, 24, 2]
7,144,1.8670287132263184,[10, 20, 16, 18, 4, 8, 12]
7,539,13.072227001190186,[16, 22, 18, 10, 22, 6, 8]
7,459,9.833804607391357,[12, 14, 10, 24, 6, 10, 16]
4,38,0.3879671096801758,[14, 12, 24, 2]
7,1550,104.31459355354309,[24, 6, 8, 2, 10, 14, 12]
7,3208,494.9557590484619,[8, 6, 4, 2, 14, 10, 10]
7,211,3.720634698867798,[24, 10, 16, 22, 8, 4, 2]
7,421,8.630022287368774,[20, 16, 20, 8, 4, 4, 12]
BAD,3558,600.1339936256409,BAD
4,38,0.4168875217437744,[14, 12, 10, 10]
7,526,12.474297761917114,[16, 20, 20, 2, 6, 8, 8]
7,165,2.8678929805755615,[14, 18, 22, 8, 2, 6, 16]
7,2386,268.5143630504608,[22, 20, 12, 22, 12, 18, 6]
7,79,0.8357625007629395,[22, 24, 20, 6, 2, 4, 8]
BAD,965,43.66573429107666,BAD
