Solution Length,Nodes Expanded,Runtime,Solution
4,6,0.055880069732666016,[20, 8, 4, 16]
4,14,0.13364768028259277,[8, 4, 12, 14]
4,15,0.13567066192626953,[22, 14, 18, 2]
4,6,0.046885013580322266,[24, 2, 4, 14]
4,9,0.06684994697570801,[12, 18, 4, 8]
4,9,0.07878708839416504,[14, 20, 2, 4]
4,6,0.0937490463256836,[18, 8, 16, 10]
4,38,0.30123209953308105,[14, 10, 16, 16]
4,14,0.1256577968597412,[2, 4, 16, 10]
4,6,0.04791712760925293,[20, 8, 2, 16]
4,16,0.12854409217834473,[8, 6, 6, 16]
4,35,0.2573096752166748,[24, 24, 16, 22]
4,6,0.05684089660644531,[24, 2, 6, 16]
4,14,0.1037607192993164,[6, 4, 12, 10]
4,8,0.0588383674621582,[12, 24, 2, 16]
4,7,0.09275364875793457,[22, 22, 4, 14]
4,16,0.13964247703552246,[2, 8, 8, 14]
4,36,0.2922384738922119,[16, 12, 18, 10]
4,49,0.4199216365814209,[24, 20, 10, 20]
4,14,0.10969901084899902,[4, 8, 16, 12]
4,9,0.07078719139099121,[18, 18, 16, 10]
4,5,0.03989863395690918,[18, 24, 22, 6]
4,5,0.04188394546508789,[22, 2, 14, 14]
4,8,0.05684518814086914,[22, 8, 2, 2]
4,6,0.05388998985290527,[20, 8, 12, 14]
4,13,0.11272692680358887,[16, 18, 22, 4]
4,5,0.03988361358642578,[20, 22, 18, 10]
4,5,0.048919677734375,[18, 22, 4, 10]
4,8,0.06382870674133301,[18, 2, 8, 8]
4,27,0.20743441581726074,[8, 14, 10, 12]
4,14,0.10571694374084473,[10, 20, 18, 2]
4,8,0.06380891799926758,[24, 4, 8, 8]
4,18,0.13565874099731445,[18, 12, 24, 8]
4,6,0.04988408088684082,[18, 2, 14, 10]
4,9,0.06983590126037598,[12, 24, 6, 2]
4,15,0.1356353759765625,[8, 8, 10, 12]
4,11,0.08976054191589355,[12, 24, 8, 12]
4,7,0.050904273986816406,[12, 24, 2, 2]
4,14,0.10076761245727539,[4, 2, 6, 16]
4,5,0.040879011154174805,[20, 22, 8, 12]
4,13,0.16555380821228027,[16, 18, 22, 6]
4,24,0.18449115753173828,[6, 10, 12, 12]
4,33,0.26828455924987793,[22, 22, 18, 22]
4,6,0.050902366638183594,[18, 2, 4, 10]
4,18,0.12967824935913086,[18, 16, 22, 6]
4,14,0.10375714302062988,[8, 6, 10, 14]
4,6,0.06978988647460938,[20, 2, 2, 12]
4,8,0.06582260131835938,[14, 20, 8, 12]
4,16,0.11769366264343262,[4, 6, 6, 16]
4,8,0.05684995651245117,[14, 18, 8, 10]
4,5,0.03989243507385254,[20, 22, 4, 14]
4,6,0.05386519432067871,[24, 18, 12, 10]
4,5,0.035900115966796875,[18, 20, 8, 2]
4,5,0.04487943649291992,[18, 24, 4, 6]
4,12,0.08577132225036621,[12, 24, 18, 8]
4,6,0.04687666893005371,[24, 2, 4, 14]
4,27,0.21642327308654785,[2, 14, 16, 12]
4,14,0.11368751525878906,[8, 2, 16, 12]
4,50,0.4268457889556885,[12, 10, 16, 14]
4,7,0.05788397789001465,[20, 8, 2, 6]
4,24,0.19698691368103027,[2, 4, 8, 8]
4,8,0.06681656837463379,[20, 8, 4, 4]
1,2,0.012948989868164062,[2]
4,16,0.11668777465820312,[22, 18, 24, 18]
4,6,0.04887723922729492,[20, 8, 8, 16]
4,5,0.049848079681396484,[20, 22, 18, 10]
4,7,0.05284833908081055,[18, 18, 8, 2]
4,24,0.17656612396240234,[6, 12, 16, 16]
4,6,0.045876264572143555,[20, 6, 6, 10]
4,6,0.05386829376220703,[24, 2, 6, 10]
4,10,0.0837697982788086,[20, 18, 18, 6]
4,7,0.05285310745239258,[20, 20, 8, 12]
4,6,0.04686141014099121,[20, 18, 10, 12]
4,6,0.05684351921081543,[24, 2, 6, 10]
4,6,0.0458683967590332,[18, 2, 4, 16]
4,15,0.11573243141174316,[24, 16, 18, 4]
4,6,0.0468592643737793,[24, 22, 12, 16]
4,52,0.4578132629394531,[12, 14, 18, 24]
4,10,0.07978224754333496,[24, 20, 20, 4]
4,14,0.10970568656921387,[10, 22, 18, 6]
4,7,0.05782580375671387,[12, 18, 8, 8]
4,9,0.0758218765258789,[16, 20, 22, 10]
4,27,0.20348906517028809,[2, 14, 10, 16]
4,24,0.19747328758239746,[8, 10, 12, 12]
4,27,0.20149683952331543,[2, 10, 16, 14]
4,6,0.049870967864990234,[20, 24, 22, 2]
4,8,0.07178926467895508,[16, 20, 14, 10]
4,24,0.18251371383666992,[2, 12, 16, 16]
4,19,0.15556764602661133,[20, 18, 10, 24]
4,5,0.04188346862792969,[24, 18, 8, 14]
4,6,0.04985213279724121,[22, 4, 14, 16]
4,9,0.07480263710021973,[20, 20, 24, 4]
4,14,0.10973858833312988,[2, 4, 6, 10]
4,21,0.17452669143676758,[22, 16, 18, 2]
4,11,0.08676862716674805,[20, 20, 22, 14]
4,8,0.06883072853088379,[24, 4, 2, 2]
4,6,0.05090022087097168,[24, 6, 12, 16]
4,15,0.11668515205383301,[24, 16, 18, 6]
4,14,0.12366223335266113,[2, 4, 10, 12]
4,7,0.05085420608520508,[24, 24, 8, 2]
4,28,0.22344613075256348,[24, 18, 18, 24]
4,14,0.10176253318786621,[18, 10, 20, 12]
4,7,0.05784296989440918,[22, 8, 6, 4]
4,16,0.13567900657653809,[2, 6, 6, 14]
4,9,0.07081389427185059,[10, 24, 2, 8]
4,5,0.042888641357421875,[24, 20, 6, 4]
4,7,0.05782604217529297,[22, 4, 8, 2]
