Solution Length,Nodes Expanded,Runtime,Solution
1,2,0.015957117080688477,[6]
1,2,0.011972427368164062,[24]
1,2,0.014960765838623047,[10]
1,2,0.012971162796020508,[20]
1,2,0.009967803955078125,[22]
1,2,0.011976003646850586,[20]
1,2,0.011966943740844727,[12]
1,2,0.009973526000976562,[12]
1,2,0.010970830917358398,[24]
1,2,0.014966964721679688,[14]
1,2,0.014965057373046875,[14]
1,2,0.01795220375061035,[4]
1,2,0.009970426559448242,[8]
1,2,0.013963937759399414,[8]
1,2,0.00997781753540039,[12]
1,2,0.013971328735351562,[6]
1,2,0.01198124885559082,[20]
1,2,0.013965845108032227,[14]
1,2,0.014959335327148438,[16]
1,2,0.018950223922729492,[20]
1,2,0.012962818145751953,[18]
1,2,0.01597309112548828,[20]
1,2,0.014959096908569336,[8]
1,2,0.012964725494384766,[6]
1,2,0.012968063354492188,[24]
1,2,0.015957355499267578,[22]
1,2,0.012957572937011719,[8]
1,2,0.012967348098754883,[8]
1,2,0.013965129852294922,[2]
1,2,0.02094578742980957,[10]
1,2,0.013957977294921875,[6]
1,2,0.013962984085083008,[14]
1,2,0.01396322250366211,[10]
1,2,0.013967037200927734,[20]
1,2,0.013961076736450195,[20]
1,2,0.015957117080688477,[14]
1,2,0.014974355697631836,[10]
1,2,0.012962818145751953,[22]
1,2,0.01196908950805664,[22]
1,2,0.015957355499267578,[10]
1,2,0.01695537567138672,[16]
1,2,0.011968135833740234,[10]
1,2,0.011972904205322266,[20]
1,2,0.013963937759399414,[12]
1,2,0.013964653015136719,[20]
1,2,0.013965845108032227,[10]
1,2,0.014960765838623047,[6]
1,2,0.016953468322753906,[10]
1,2,0.015947580337524414,[14]
1,2,0.018950223922729492,[14]
1,2,0.015957355499267578,[22]
1,2,0.01596379280090332,[16]
1,2,0.010959148406982422,[2]
1,2,0.012963056564331055,[14]
1,2,0.012989521026611328,[20]
1,2,0.017950057983398438,[12]
1,2,0.03092050552368164,[10]
1,2,0.013966798782348633,[2]
1,2,0.012970924377441406,[10]
1,2,0.013970136642456055,[10]
1,2,0.012973546981811523,[20]
1,2,0.015958309173583984,[10]
1,2,0.01495814323425293,[12]
1,2,0.01695537567138672,[22]
1,2,0.0219423770904541,[14]
1,2,0.010970115661621094,[2]
1,2,0.011968135833740234,[4]
1,2,0.011966466903686523,[8]
1,2,0.01296544075012207,[6]
1,2,0.01196742057800293,[6]
1,2,0.014958620071411133,[8]
1,2,0.014960050582885742,[16]
1,2,0.012964725494384766,[8]
1,2,0.012965679168701172,[6]
1,2,0.011971473693847656,[16]
1,2,0.01595902442932129,[10]
1,2,0.01196599006652832,[14]
1,2,0.011981964111328125,[24]
1,2,0.011988162994384766,[4]
1,2,0.013960123062133789,[16]
1,2,0.015959978103637695,[18]
1,2,0.020940542221069336,[2]
1,2,0.02293705940246582,[10]
1,2,0.025920867919921875,[14]
1,2,0.014944314956665039,[16]
1,2,0.013968467712402344,[22]
1,2,0.013962984085083008,[22]
1,2,0.013977766036987305,[14]
1,2,0.012969970703125,[8]
1,2,0.011976003646850586,[14]
1,2,0.009974002838134766,[8]
1,2,0.014962196350097656,[4]
1,2,0.015958547592163086,[24]
1,2,0.017948389053344727,[18]
1,2,0.013963460922241211,[6]
1,2,0.01296687126159668,[2]
1,2,0.014950275421142578,[22]
1,2,0.012969255447387695,[22]
1,2,0.014964818954467773,[14]
1,2,0.013966798782348633,[2]
1,2,0.013967275619506836,[4]
1,2,0.015961647033691406,[16]
1,2,0.014958858489990234,[8]
1,2,0.013960123062133789,[12]
1,2,0.01196908950805664,[6]
1,2,0.014963865280151367,[16]
1,2,0.012958049774169922,[20]
1,2,0.015970706939697266,[20]
1,2,0.015956878662109375,[18]
1,2,0.0139617919921875,[2]
1,2,0.01594376564025879,[20]
1,2,0.013962984085083008,[14]
1,2,0.013962745666503906,[10]
1,2,0.012968063354492188,[24]
1,2,0.013967752456665039,[8]
1,2,0.012967586517333984,[16]
1,2,0.011972427368164062,[18]
1,2,0.01097249984741211,[2]
1,2,0.015956878662109375,[22]
1,2,0.012988567352294922,[24]
1,2,0.011984825134277344,[10]
1,2,0.01695704460144043,[20]
1,2,0.013963937759399414,[4]
1,2,0.013965845108032227,[4]
1,2,0.011969566345214844,[16]
1,2,0.012967348098754883,[20]
1,2,0.013965606689453125,[20]
1,2,0.015954017639160156,[4]
1,2,0.013963460922241211,[8]
1,2,0.012966632843017578,[6]
1,2,0.014961481094360352,[18]
1,2,0.012966156005859375,[20]
1,2,0.012966632843017578,[14]
1,2,0.011974811553955078,[14]
1,2,0.008976221084594727,[12]
1,2,0.014961957931518555,[6]
1,2,0.014969348907470703,[18]
1,2,0.015958547592163086,[6]
1,2,0.02393198013305664,[24]
1,2,0.011966228485107422,[18]
1,2,0.013971328735351562,[18]
1,2,0.013979434967041016,[24]
1,2,0.012967824935913086,[20]
1,2,0.012964725494384766,[8]
1,2,0.013963699340820312,[20]
1,2,0.013960123062133789,[16]
1,2,0.012987136840820312,[18]
1,2,0.015949487686157227,[18]
1,2,0.013978242874145508,[22]
1,2,0.012966632843017578,[6]
1,2,0.01311349868774414,[18]
1,2,0.014961481094360352,[6]
1,2,0.01395726203918457,[2]
1,2,0.012965202331542969,[12]
1,2,0.015946388244628906,[20]
1,2,0.014962911605834961,[18]
1,2,0.008974552154541016,[24]
1,2,0.014959573745727539,[16]
1,2,0.012960672378540039,[12]
1,2,0.017954349517822266,[6]
1,2,0.016961336135864258,[14]
1,2,0.013967275619506836,[4]
1,2,0.014962196350097656,[6]
1,2,0.014962196350097656,[18]
1,2,0.010975360870361328,[12]
1,2,0.018948793411254883,[24]
1,2,0.016954660415649414,[24]
1,2,0.011971473693847656,[14]
1,2,0.013964653015136719,[2]
1,2,0.012974023818969727,[16]
1,2,0.012972116470336914,[16]
1,2,0.01595926284790039,[12]
1,2,0.011968135833740234,[2]
1,2,0.01496124267578125,[14]
1,2,0.011976242065429688,[24]
1,2,0.010968923568725586,[4]
1,2,0.010966777801513672,[16]
1,2,0.01196908950805664,[10]
1,2,0.011968612670898438,[2]
1,2,0.014994621276855469,[20]
1,2,0.013001680374145508,[12]
1,2,0.01495504379272461,[12]
1,2,0.01298832893371582,[6]
1,2,0.013960838317871094,[8]
1,2,0.012966632843017578,[2]
1,2,0.014962196350097656,[18]
1,2,0.012968778610229492,[4]
1,2,0.013963937759399414,[4]
1,2,0.01398611068725586,[16]
1,2,0.013976812362670898,[10]
1,2,0.013958930969238281,[14]
1,2,0.010968685150146484,[18]
1,2,0.010970592498779297,[16]
1,2,0.011968135833740234,[22]
1,2,0.010959386825561523,[10]
1,2,0.02094268798828125,[18]
1,2,0.014960289001464844,[6]
1,2,0.014940023422241211,[8]
1,2,0.01694798469543457,[2]
1,2,0.022937536239624023,[22]
1,2,0.016955852508544922,[6]
1,2,0.014962434768676758,[12]
1,2,0.013965129852294922,[22]
