Solution Length,Nodes Expanded,Runtime,Solution
2,3,0.02992081642150879,[24, 24]
2,5,0.05385398864746094,[14, 24]
2,3,0.017951250076293945,[20, 12]
2,3,0.019942045211791992,[24, 10]
2,3,0.022939682006835938,[24, 6]
2,5,0.0368804931640625,[14, 18]
2,3,0.021906375885009766,[2, 16]
2,3,0.01894998550415039,[20, 16]
2,5,0.04388236999511719,[10, 20]
2,3,0.022957324981689453,[18, 22]
2,3,0.021920204162597656,[2, 16]
2,3,0.023935794830322266,[18, 16]
2,3,0.019946575164794922,[18, 10]
2,4,0.041929006576538086,[12, 16]
2,3,0.020917892456054688,[24, 10]
2,3,0.01998138427734375,[24, 2]
2,3,0.02393341064453125,[10, 10]
2,3,0.020979881286621094,[2, 8]
2,3,0.027964115142822266,[22, 2]
2,3,0.02492547035217285,[24, 10]
2,3,0.03294825553894043,[20, 24]
2,3,0.02793717384338379,[8, 14]
2,3,0.02593517303466797,[6, 12]
2,3,0.02091240882873535,[22, 14]
2,3,0.02693653106689453,[22, 14]
2,3,0.018988370895385742,[4, 16]
2,3,0.020979881286621094,[24, 14]
2,3,0.0199739933013916,[20, 24]
2,5,0.03393197059631348,[14, 24]
2,3,0.020948410034179688,[4, 16]
2,3,0.020981550216674805,[20, 20]
2,4,0.03490471839904785,[12, 10]
2,3,0.03790283203125,[4, 12]
2,3,0.026921510696411133,[18, 6]
2,3,0.02198195457458496,[2, 2]
2,3,0.01994490623474121,[8, 16]
2,3,0.031916141510009766,[22, 4]
2,3,0.0518646240234375,[6, 14]
2,3,0.027924537658691406,[18, 8]
2,3,0.02593255043029785,[22, 16]
2,5,0.03989124298095703,[12, 22]
2,3,0.02097797393798828,[6, 14]
2,3,0.028963565826416016,[8, 16]
2,4,0.032909393310546875,[14, 16]
2,3,0.025925874710083008,[18, 22]
2,3,0.019982576370239258,[24, 2]
2,3,0.022937297821044922,[22, 2]
2,3,0.027943849563598633,[4, 2]
2,4,0.034914255142211914,[16, 12]
2,3,0.024936437606811523,[24, 6]
2,3,0.0339045524597168,[20, 12]
2,3,0.026935100555419922,[6, 14]
2,3,0.019985675811767578,[24, 4]
2,3,0.022938251495361328,[24, 8]
2,3,0.02892303466796875,[4, 16]
2,3,0.02692866325378418,[24, 12]
2,3,0.021922826766967773,[22, 14]
2,5,0.042877197265625,[16, 22]
2,3,0.024929523468017578,[2, 16]
2,3,0.02593231201171875,[20, 10]
2,3,0.020973920822143555,[8, 12]
2,3,0.03293800354003906,[8, 4]
2,3,0.02692699432373047,[8, 2]
2,3,0.020943164825439453,[18, 10]
2,5,0.04389762878417969,[16, 22]
2,3,0.02394270896911621,[18, 24]
2,3,0.020975351333618164,[22, 10]
2,3,0.025931596755981445,[8, 6]
2,5,0.03989219665527344,[12, 24]
2,3,0.02892160415649414,[4, 16]
2,3,0.02891993522644043,[22, 14]
2,4,0.03594231605529785,[12, 16]
2,3,0.024933576583862305,[2, 16]
2,3,0.019985198974609375,[14, 14]
2,3,0.021934986114501953,[4, 16]
2,3,0.02293705940246582,[6, 2]
2,4,0.035902976989746094,[10, 14]
2,4,0.03390789031982422,[14, 12]
2,3,0.0239717960357666,[20, 6]
2,4,0.037931203842163086,[14, 12]
2,3,0.02094125747680664,[12, 12]
2,5,0.04089069366455078,[10, 24]
2,4,0.03592681884765625,[14, 12]
2,3,0.026935815811157227,[4, 16]
2,3,0.01998305320739746,[8, 16]
2,4,0.026952505111694336,[16, 10]
2,3,0.022897005081176758,[20, 6]
