Solution Length,Nodes Expanded,Runtime,Solution
0,1,0,[]
0,1,0,[]
0,1,0.001035929,[]
0,1,0.00198698,[]
0,1,0.001999855,[]
0,1,0.005983591,[]
0,1,0.000983,[]
0,1,0.006981373,[]
0,1,0.001996279,[]
0,1,0.005982637,[]
0,1,0.000998259,[]
0,1,0.00498724,[]
0,1,0.001005411,[]
0,1,0.000997782,[]
0,1,0.001993418,[]
0,1,0.005969048,[]
0,1,0.000995636,[]
0,1,0.000996351,[]
0,1,0.001991034,[]
0,1,0.000996828,[]
0,1,0.000997305,[]
0,1,0.002997637,[]
0,1,0,[]
0,1,0.000996828,[]
0,1,0.00099659,[]
0,1,0.00099802,[]
0,1,0.000997066,[]
0,1,0.000998735,[]
0,1,0.000995159,[]
0,1,0,[]
0,1,0.000994682,[]
0,1,0.002019405,[]
0,1,0.000996351,[]
0,1,0.001005173,[]
0,1,0.002996683,[]
0,1,0,[]
0,1,0.00099802,[]
0,1,0.004988432,[]
0,1,0.000997305,[]
0,1,0.000984907,[]
0,1,0.001994371,[]
0,1,0.000993729,[]
0,1,0.000997782,[]
0,1,0.000997782,[]
0,1,0.000998497,[]
0,1,0.000983715,[]
0,1,0.004983902,[]
0,1,0.001993418,[]
0,1,0.00099206,[]
0,1,0.000997305,[]
0,1,0.000993729,[]
0,1,0.000997543,[]
0,1,0.000997305,[]
0,1,0.001978397,[]
0,1,0.000992298,[]
0,1,0.000983238,[]
0,1,0.002996922,[]
0,1,0.000997066,[]
0,1,0,[]
0,1,0.004987717,[]
0,1,0,[]
0,1,0.000996351,[]
0,1,0.000986576,[]
0,1,0,[]
0,1,0.00098443,[]
0,1,0.000990629,[]
0,1,0.001983643,[]
0,1,0,[]
0,1,0.000995636,[]
0,1,0.003011465,[]
0,1,0.000998259,[]
0,1,0.001003981,[]
0,1,0.002015591,[]
0,1,0.00099659,[]
0,1,0.000997305,[]
0,1,0.004971504,[]
0,1,0.000987768,[]
0,1,0.000997305,[]
0,1,0.004987001,[]
0,1,0.000995874,[]
0,1,0.000996828,[]
0,1,0.00099802,[]
0,1,0.000988722,[]
0,1,0.000995398,[]
0,1,0.000997305,[]
0,1,0.00098896,[]
0,1,0.000997305,[]
0,1,0.00099802,[]
0,1,0.002998829,[]
0,1,0.000985146,[]
0,1,0,[]
0,1,0.00098896,[]
0,1,0.000997543,[]
0,1,0,[]
0,1,0.000997305,[]
0,1,0.00099349,[]
0,1,0.001995564,[]
0,1,0.002993584,[]
0,1,0.000998974,[]
0,1,0.00199461,[]
0,1,0.000998259,[]
0,1,0.000997305,[]
0,1,0.000997543,[]
0,1,0.000994205,[]
0,1,0.000997305,[]
0,1,0.000995159,[]
0,1,0,[]
0,1,0.003018141,[]
0,1,0.000997305,[]
0,1,0.00099659,[]
0,1,0.002995014,[]
0,1,0.001003742,[]
0,1,0.001000166,[]
0,1,0.00198555,[]
0,1,0.000997782,[]
0,1,0.000992537,[]
0,1,0.001001596,[]
0,1,0.005984306,[]
